item,item_type,num_options,correct_answer,a_param,b_param,slip,distractors,distractor_weights,difficulty,discrimination,a_hat,b_hat
item11,regular,4,C,1.5860448745212294,-1.7518267461640609,0.024974474769836955,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.89,0.161,0.8611390706375619,-2.67366774834133
item12,regular,3,B,0.8388276587483331,-1.1367047933289482,0.015333999590033457,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.74,0.207,0.7473347758855042,-1.5086397663964892
item13,regular_clean,3,C,1.684325188089524,-1.0976608475471359,0.07735933601898302,"['A', 'B']","{'A': np.float64(0.6), 'B': np.float64(0.4)}",0.77,0.149,0.6334610219425856,-2.0339132014019197
item14,regular_clean,4,C,1.0567548336861208,-0.2399226076465865,0.018741844275865387,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.63,0.202,0.678632260345478,-0.8033512707367694
item15,misleading,4,D,1.5721331735362591,-0.5211214734287559,0.029211804701515375,"['A', 'B', 'C']","{'A': np.float64(0.27108433734939763), 'B': np.float64(0.5783132530120482), 'C': np.float64(0.15060240963855426)}",0.63,0.286,0.8825284042339281,-0.6270145109497891
item16,regular_clean,3,B,0.9023970654952128,-0.5766116734419247,0.05162067675932664,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.6,0.242,0.7552603956067907,-0.5346285671639853
item17,regular,5,B,0.7414351007815446,-2.762291555188824,0.013154244094732636,"['A', 'C', 'D', 'E']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.86,0.112,0.73801738946844,-2.6528318847765657
item18,regular_clean,4,B,1.5710943525022252,0.8296572442198293,0.07576310946205889,"['A', 'C', 'D']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.35,0.194,0.646338941291735,1.1538563225068357
item19,regular_clean,4,B,1.0203423562337668,-0.4603937191738354,0.06224396916889387,"['A', 'C', 'D']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.585,0.249,0.7249111992366264,-0.4654890589282487
item20,misleading,4,D,1.491892391903635,-0.09382297301603672,0.06291622669477151,"['A', 'B', 'C']","{'A': np.float64(0.2631578947368421), 'B': np.float64(0.17543859649122803), 'C': np.float64(0.5614035087719298)}",0.565,0.309,0.9423634450748799,-0.24920256264651539
item21,regular,4,B,0.9249785839879816,-0.9230165559712178,0.018765595646584855,"['A', 'C', 'D']","{'A': np.float64(0.5217391304347826), 'C': np.float64(0.2608695652173913), 'D': np.float64(0.21739130434782616)}",0.75,0.202,0.7315434980472783,-1.6128918665047007
item22,regular,3,B,1.6086957658543306,-1.7971523541380021,0.03874914061832143,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.875,-0.017,0.5912678127449821,-3.426097336687075
item23,regular_clean,4,D,1.0608920682476028,-0.6131374125172286,0.007533076155104131,"['A', 'B', 'C']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.25000000000000006)}",0.67,0.302,0.97140749558461,-0.7938347450550435
item24,misleading,4,C,1.3069921217562186,0.3915221813251852,0.03288014960949541,"['A', 'B', 'D']","{'A': np.float64(0.27108433734939763), 'B': np.float64(0.5783132530120482), 'D': np.float64(0.15060240963855426)}",0.405,0.459,1.6041430486731536,0.38122695272821516
item25,diluted,4,D,0.6277923873467125,0.1749400363844349,0.09231039252271195,"['A', 'B', 'C']","{'A': np.float64(0.5769230769230769), 'B': np.float64(0.23076923076923075), 'C': np.float64(0.19230769230769235)}",0.505,-0.03,0.33178639246093417,0.028472066024807688
item26,regular,5,B,1.4173057284756965,-1.6400846050363942,0.024781182346962104,"['A', 'C', 'D', 'E']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.865,0.158,0.8097512133373128,-2.508390071037722
item27,regular_clean,5,E,1.2536227874776305,0.16629653136981087,0.03126697356960155,"['A', 'B', 'C', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'D': np.float64(0.12500000000000003)}",0.49,0.12,0.511417616925554,0.1703267858778442
item28,regular,4,C,1.3451345063556084,-0.1626528809140524,0.030302898516358538,"['A', 'B', 'D']","{'A': np.float64(0.391304347826087), 'B': np.float64(0.2608695652173913), 'D': np.float64(0.3478260869565218)}",0.58,0.304,0.9131889014710898,-0.3383223477365645
item29,regular,4,C,0.9531157727060215,-0.5185492222311799,0.058342118000738,"['A', 'B', 'D']","{'A': np.float64(0.391304347826087), 'B': np.float64(0.391304347826087), 'D': np.float64(0.21739130434782616)}",0.6,0.234,0.7213098117754755,-0.5646790113231364
item30,regular,5,A,1.2330557247528526,0.9932883335498353,0.13945080516259184,"['B', 'C', 'D', 'E']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.275,0.293,0.9761188082738004,1.2529498879420278
item31,misleading,3,C,1.3140879471269629,1.5958029435870509,0.018833419967386886,"['A', 'B']","{'A': np.float64(0.75), 'B': np.float64(0.25000000000000006)}",0.275,0.336,1.0593974410936549,1.1750535084064548
item32,regular,4,C,1.5007955646284774,-1.536409030609441,0.07098013969686816,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.84,0.08,0.5927922043951734,-2.92259221630256
item33,regular,4,B,1.287329914132765,-3.3190230159006386,0.00016511900367794556,"['A', 'C', 'D']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.97,0.044,1.0445335474564417,-3.6604856168134243
item34,regular,3,B,1.3790914866416693,1.0518728100683212,0.14141437105980653,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.31,0.235,0.7661940724949472,1.2723340257729334
item35,regular_clean,4,D,1.412795140892809,-0.6612519075274306,0.02428364408680145,"['A', 'B', 'C']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.25000000000000006)}",0.725,0.227,0.8009920763835736,-1.3165713670016144
item36,regular,4,C,1.2084551306871505,-0.43469373329102506,0.11132770581310049,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.62,0.258,0.8249433261306997,-0.6036960206675163
item37,regular,4,C,1.479099861344753,-2.86956011058865,0.030789506803079514,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.88,-0.005,0.5889530691261704,-3.5067055805154306
item38,regular_clean,4,A,0.9431168846083273,-0.33332933835933065,0.034529864087858325,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.625,0.276,0.8589644529781119,-0.616191590842442
item39,misleading,4,A,0.9065429857575694,-0.21009386469653907,0.03639157601414938,"['B', 'C', 'D']","{'B': np.float64(0.65625), 'C': np.float64(0.18749999999999997), 'D': np.float64(0.15625000000000003)}",0.535,0.199,0.6634910547068522,-0.15785984567054234
item40,regular,5,D,0.7498330628056775,-1.1024914875778242,0.04669831184907117,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.725,0.151,0.5889230979210275,-1.7514893424407199
item41,diluted,3,B,0.38512705193231167,-2.8450524757063413,0.026920969710021836,"['A', 'C']","{'A': np.float64(0.46153846153846156), 'C': np.float64(0.5384615384615385)}",0.745,0.265,0.9280449362901625,-1.2723928671392069
item42,regular,5,D,1.5613554460439163,-0.6480477475128689,0.02644949115264041,"['A', 'B', 'C', 'E']","{'A': np.float64(0.391304347826087), 'B': np.float64(0.2608695652173913), 'C': np.float64(0.23913043478260873), 'E': np.float64(0.10869565217391308)}",0.71,0.28,0.9423456841770675,-1.0410921261140011
item43,regular_clean,4,A,1.7964304109840268,-0.7902528636951791,0.044506895702991434,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.75,0.324,1.1813133550150556,-1.0701577909959248
item44,regular_clean,5,B,1.523976928331884,-1.0381059140057012,0.0049469226045335745,"['A', 'C', 'D', 'E']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.795,0.327,1.2262910362155484,-1.2846835585824983
item45,regular_clean,4,A,0.9082881353620876,-0.5009490078158507,0.06925307954772976,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.585,0.146,0.5025088655958376,-0.6715558795963738
item46,regular_clean,3,A,1.3516056013404598,-0.12438422760270915,0.016971601821582222,"['B', 'C']","{'B': np.float64(0.6), 'C': np.float64(0.4)}",0.57,0.337,1.058332508761548,-0.2461067290247155
item47,diluted,4,D,0.6781689342683516,-0.7871295698547771,0.04610041603598977,"['A', 'B', 'C']","{'A': np.float64(0.5769230769230769), 'B': np.float64(0.23076923076923075), 'C': np.float64(0.19230769230769235)}",0.66,0.109,0.5172086127334385,-1.3194851035917452
item48,regular,5,C,1.29769083679228,-1.7715318328794456,0.05619777327139508,"['A', 'B', 'D', 'E']","{'A': np.float64(0.391304347826087), 'B': np.float64(0.2608695652173913), 'D': np.float64(0.10869565217391308), 'E': np.float64(0.23913043478260873)}",0.775,0.163,0.6852511157132675,-1.939350203007418
item49,regular,5,D,1.0524424738789584,-1.118911713018716,0.022601412629368937,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.71,0.249,0.7867679789050952,-1.231038214141991
item50,regular,5,D,1.5917066562135085,0.054197388056828055,0.06369306422691208,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.505,0.365,1.1178856236544648,0.048174615347901746
item51,misleading,4,A,1.2673997329931082,-1.1498127275722014,0.0681992282535907,"['B', 'C', 'D']","{'B': np.float64(0.27108433734939763), 'C': np.float64(0.5783132530120482), 'D': np.float64(0.15060240963855426)}",0.73,0.234,0.8009078143390935,-1.3512707704487068
item52,regular,4,D,1.4704460093309426,-0.06581067929142248,0.011798691962760843,"['A', 'B', 'C']","{'A': np.float64(0.5217391304347826), 'B': np.float64(0.2608695652173913), 'C': np.float64(0.21739130434782616)}",0.58,0.27,0.8366556315662086,-0.367829128263948
item53,regular,4,D,1.2311100641067259,-1.7347125422079168,0.010662872476374255,"['A', 'B', 'C']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.25000000000000006)}",0.865,0.006,0.5797061661274225,-3.334294519136867
item54,regular_clean,5,E,1.154009352913969,0.6497631660049354,0.05107983361225376,"['A', 'B', 'C', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'D': np.float64(0.12500000000000003)}",0.355,0.295,0.8873889471869733,0.8629522692258165
item55,diluted,3,B,0.3835688368561872,0.16249735603373772,0.035811545452195004,"['A', 'C']","{'A': np.float64(0.46153846153846156), 'C': np.float64(0.5384615384615385)}",0.5,0.182,0.5748012511171489,0.0825314619339081
item56,regular,3,A,1.1397404541363936,-0.3001564594030258,0.04220588265843551,"['B', 'C']","{'B': np.float64(0.6), 'C': np.float64(0.4)}",0.64,0.278,0.8817032830113748,-0.6820178604747206
item57,diluted,4,C,0.6277001577093344,-1.6084156469355269,0.04456895833254895,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.745,0.112,0.5775969848899379,-1.9612519641099768
item58,regular,4,B,0.8052941757520704,-1.3204356917938735,0.03374086637441559,"['A', 'C', 'D']","{'A': np.float64(0.391304347826087), 'C': np.float64(0.2608695652173913), 'D': np.float64(0.3478260869565218)}",0.73,0.138,0.6069064173047366,-1.7283347086054786
item59,regular_clean,3,A,1.1705002636383885,-1.514190289514422,0.016184887168019156,"['B', 'C']","{'B': np.float64(0.6), 'C': np.float64(0.4)}",0.83,0.226,0.9237832025115756,-1.9218716707377912
item60,regular_clean,5,A,1.7617574533897873,-1.1245620829631708,0.03277201487223571,"['B', 'C', 'D', 'E']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.81,0.273,0.9865056354841995,-1.652926960364802
item61,regular_clean,4,B,1.4074589942006517,-0.05552793539891937,0.052076151658271994,"['A', 'C', 'D']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.53,0.259,0.7502647327263424,-0.10546620541850457
item62,diluted,5,E,0.42309565438283886,-1.0629716331609704,0.08574193385701072,"['A', 'B', 'C', 'D']","{'A': np.float64(0.34615384615384615), 'B': np.float64(0.23076923076923075), 'C': np.float64(0.3269230769230769), 'D': np.float64(0.09615384615384617)}",0.565,0.071,0.4437121455734486,-0.5563227029250736
item63,regular,4,B,1.0690680583712444,-0.06875736350446171,0.02075271572631832,"['A', 'C', 'D']","{'A': np.float64(0.391304347826087), 'C': np.float64(0.391304347826087), 'D': np.float64(0.21739130434782616)}",0.58,0.223,0.66606620381833,-0.4738506460613675
item64,regular,5,D,1.5154636120499516,-2.6829002628079666,0.021721202433573682,"['A', 'B', 'C', 'E']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.89,0.011,0.6702657188569234,-3.2990268369126974
item65,regular_clean,3,B,0.9538960788046311,-0.2986650601451914,0.03672736120511064,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.63,0.217,0.6841105148974145,-0.8011874840327773
item66,regular,3,B,1.1658379584767635,-1.8990551883302387,0.04282399186119768,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.845,0.251,1.0339065031018349,-1.859822178811935
item67,regular,5,D,1.1747986760668208,-2.8446600430917828,0.038769240597499394,"['A', 'B', 'C', 'E']","{'A': np.float64(0.5217391304347826), 'B': np.float64(0.2608695652173913), 'C': np.float64(0.10869565217391308), 'E': np.float64(0.10869565217391308)}",0.895,0.075,0.7230083719277647,-3.174566338600865
item68,regular,3,B,1.6578642638203216,-0.8727207470437706,0.06313990908128422,"['A', 'C']","{'A': np.float64(0.6), 'C': np.float64(0.4)}",0.78,0.263,0.9252145968691415,-1.5323177911092838
item69,regular,4,C,1.6487612006948327,0.39469268382800826,0.04096198133786857,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.435,0.307,0.8878963472301168,0.41742208087552185
item70,regular_clean,3,A,1.2518707920330507,-0.1717438081273725,0.022609388282404018,"['B', 'C']","{'B': np.float64(0.6), 'C': np.float64(0.4)}",0.54,0.353,1.0693895392268569,-0.11026595398490388
item71,regular,5,B,1.672366413082646,-1.444607783586051,0.0630787998006151,"['A', 'C', 'D', 'E']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.12500000000000003), 'E': np.float64(0.12500000000000003)}",0.82,0.215,0.8835992559201769,-1.9071644782198844
item72,regular_clean,4,C,1.6648864626690254,-0.24305918124265063,0.0767928938436688,"['A', 'B', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.54,0.328,0.9614447936136555,-0.12185335022029416
item73,regular,5,E,1.1598683617590893,0.7445712555345423,0.1606655692424385,"['A', 'B', 'C', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'D': np.float64(0.12500000000000003)}",0.33,0.364,1.1074617844745924,0.8475642880545475
item74,regular,4,B,0.7812364442519196,-0.6922434000852302,0.0891373533048313,"['A', 'C', 'D']","{'A': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.605,0.263,0.7969152602459032,-0.5362858383715311
item75,regular,5,E,1.2944596183762413,-0.2407291354044236,0.048341859434071016,"['A', 'B', 'C', 'D']","{'A': np.float64(0.45), 'B': np.float64(0.3), 'C': np.float64(0.12500000000000003), 'D': np.float64(0.12500000000000003)}",0.57,0.278,0.8480531277172482,-0.31425343134742545
item76,regular,5,C,1.0991120593062433,-2.4310939210563145,0.07227755219406229,"['A', 'B', 'D', 'E']","{'A': np.float64(0.5217391304347826), 'B': np.float64(0.2608695652173913), 'D': np.float64(0.10869565217391308), 'E': np.float64(0.10869565217391308)}",0.82,0.199,0.8442348073406702,-1.9800155874660237
item77,regular,4,A,0.8330789893379055,-2.226736228211898,0.0050268860354905085,"['B', 'C', 'D']","{'B': np.float64(0.45), 'C': np.float64(0.3), 'D': np.float64(0.25000000000000006)}",0.86,0.114,0.7452346975549217,-2.6417345644113763
item78,regular,3,C,1.6166592400010638,-1.3737606593629947,0.02010948282221946,"['A', 'B']","{'A': np.float64(0.6), 'B': np.float64(0.4)}",0.865,0.239,1.0553660250278147,-2.00394470422
item79,diluted,4,C,0.6039827957882712,-0.7322944854641558,0.051830201455510275,"['A', 'B', 'D']","{'A': np.float64(0.34615384615384615), 'B': np.float64(0.4615384615384615), 'D': np.float64(0.19230769230769235)}",0.58,0.155,0.5355807189507402,-0.5827585800310794
item80,regular,4,B,1.6053345442509257,-1.3841000778392325,0.07291544287304927,"['A', 'C', 'D']","{'A': np.float64(0.391304347826087), 'C': np.float64(0.2608695652173913), 'D': np.float64(0.3478260869565218)}",0.815,0.261,0.9632974011881317,-1.7266047964890592
